,Headline,1
204,"This one was AMAZING. Now I want to go to Disneyland to do all the things Christy did and re-live that experience. You're really rooting for her to get together with Todd. I got the volume, and I read all of this one in a day or two, I was hooked! These are my favorite series ever, and I doubt that will change soon.-pokes post below this one- Read the college years :P You'll find that her romance with Todd is more consistent, and it might change your view on romance novels.",0.9636664929004924
638,"This is a truly unique travel book. The descriptions of accommodations, food, and places to visit are great, and the book is loaded with anecdotes and practical advice, making it lots of fun to read. This book is obviously written by somebody who has spent a lot of time in, and loves, Paris. I've already given two books to friends and they've loved them!",0.9636618524036538
1610," Well , I ddin't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! We have so much in common . We like the same teams , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . ",0.9636612933498929
2401,"This edition of The Secret Garden is absolutely gorgeous...one of the most beautifully illustrated books I have ever seen. Inga Moore's images lend even more magic to this treasured story, and immerse you in beauty throughout.",0.9636172085264356
2255,"Just got home from watching Frozen at Movies in the Canyon! Great night, great movie! Next Friday it's Jurassic Park! http://t.co/yLBmkmqJma",0.9636156269088514
176,"Awesome video, package was shipped well, and received it earlier than the expected date. Thanks!",0.9636040068803265
2100,"Bette Midler is a wonderful talent and this album proves that (as if it hadn't already been proven!). She has a wonderful ear for great material and that also is shown on this great album. Tackling Teddy Pendergrass' LOVE TKO is no easy feat and the Divine Miss M doesn't disappoint, offering a compassionate take on a fabulous song.Having heard Lalah Hathaway and Joe Sample's version of ""When Your Life Was Low"" and loving the song as I do, I was interested in how Bette would approach the song which is steeped in jazz vocal. Her voice is amazing on this song and it makes you long for a sugar-free radio wave that would send this tune through stereo speakers everywhere.This album offers great songs and a Bette Midler that is in excellent voice and at her interpretive best. How wonderful it is for us to have Bette on TV, in the movies and in our CD players. She is truly one of the greatest talents we have, and as I said earlier, this album proves that!",0.9636013930078149
1068,watching planet earth with pat. fucking rad! miniature animals FTW!!  @lexiloohoo TOMORROW!! can't wait  &lt;333,0.9635993848731014
871,We got this movie on time it was delightful and well made. Digitally remastered. Great quality video,0.9635748805377241
2267,kids love it and very educational. Great for short trips in the car. nice price. Would buy more in the future.,0.9635744395536785
1785,"An amazing compilation! Every song is gorgeous - The Best is Yet to Come, The Good Life, If I Ruled the World, Fly Me to the Moon. Nobody, even Sinatra, sings with the heart and soul Tony Bennett does. I never get tired of listening to this one. A beauty!",0.9635738938969838
1848,@Microsoft - congratulations on the 20th Birth Anniversary of @Windows 95.  20 years since we've come to love you (&amp; backward compatibility),0.9635626933663035
804,@Benreeves It was incredible. Best laugh i've had in a long time! ,0.9635454744876154
1350,"This is a very fresh and fun album....perfect for the nightclubs or the ""get togethers"" at home...and for cruising in your car. You guys are going in a whole new direction with the mixes and the blending of all the different languages. Lookling forward to the next one :)",0.9635169765860494
1187,I love the quality of these earrings. Cache Beauty ships quickly and the price is great.,0.9635123727729
1626,This set receives heavy use every day and looks as new now as when we bought it over a year ago. I would highly recommend this set to everyone as I am very impressed and happy with how long this set has lasted.,0.9634830011743108
370," Great , I love hot food too . ",0.9634801612634506
2457,"This book is very entertaining, the movie was good, but this story is better. It was nice to read about a great female character and such a dashing hero. It is a great adventure and I highly reccomend it. I wish I could find some more books like it!!",0.9634581819767642
706,Good luck to @SykeOnAir for his interview with Justin tomorrow! You will nail it! I'll be watching out from India x :),0.9634577168284114
1006,"I was so thrilled to read about Learning Outside the Lines! I saw the article in USA Today and couldn't wait to get my copy. Finally, a book written by those kids(oops-young men)who have been through it all themselves. I fully identified as my daughter is just entering high school. THANK YOU Jonathan and David!! I have given several copies to friends!!",0.9634492002285782
2564,Wonderful pictures and easy to read. I think that this book is a must- have for anyone with more than a passing interest in architecture. I wish they would write volume no. 2!,0.9634413406926245
898,Suspenseful from beginning to end! I couldn't put this book down! A wonderfully well written story that I would highly recommend!,0.9634342729019661
1381,holy SHEEOT. the new tauren cat forms are like... 132356345762345x better! can't wait!  bear forms look great too for both factions.,0.9634307329637402
1658,"This book came to my attention by way of an amazon recommendation, and I was pleasantly surprised, it was a good ""science fact morphed just enough to make an original story"" book. I'm glad that I discover his author.",0.9634225650016708
1189,"I've listened to this cd over and over. The songs are pretty good, but the voice is great. The girl can truly sing.",0.9634175269726926
16,And the cover is great ! The colors are brilliant ! ,0.9634104341298517
2639,I just wanna say I'm so happy &amp; proud that Justin got his 1st #1 debut,0.96338807371616
2060,@DannyG27 congrats on the new job! Great news ,0.9633773005303669
2026, I think is looks great . I really like the light colors you have chosen . The pictures are nice too . Did you bought any new furniture ? ,0.9633748279835951
2857,@dannywood Good morning Dan! It's my Bday and I plan on getting some exercise too today!!  Love ya!! See you in NYC!!!,0.963370978431696
1970, I â€™ m sure you â€™ ll enjoy the trip . China is such a beautiful country . ,0.9633518596214589
1195,afterellen is awesome sauce  awesome interviews with awesomenesss such as ruby and emy &lt;3,0.9633437332092039
1411, I think is looks great . I really like the light colors you have chosen . The pictures are nice too . Did you buy any new furniture ? ,0.9633401683096477
2143,Happy birthday to my mom and dad  so excited for the beach tomorrow,0.9633339808812534
799,"I think that Vanity Fair is one of Mr. Makepiece's masterpieces and that it is the best book I have ever read of his. In fact, it is the only book from him that I have ever read of him. Kinda funny don't ya think? Vanity Fair is just a good book. Just a Fan, Anonymous!",0.9633327754982105
236,"What a wonderfully funny book this is! It's rare to find a childrens book author of Bluemle's caliber these days, and she truly ""gets"" it with this absolutely hilarious comparison of dads and dogs. Every child (and dad with a touch of humor) will adore this story.",0.9633206703309152
2496, I â€™ m so lucky . You only get a chance like this once in a blue moon ! Thanks honey ! ,0.9633187590853249
1480,"@michelleleung Thanks, Michelle! I love you! &lt;3 ",0.9633130947808816
1127,@DivaLegs30 CONGRATULATIONS!!! wish i could be there ,0.9632436339457933
746,"X-Clan's full body of work is incredible. Once again they are at the top of their game with this album for the ages. Simply put, this album is perfect and fits right in with everything they have put out. Xodus was X-Clan's 2nd effort and the last album before the band split ways. While almost the entire group has since passed on to the crossroads, Brotha J is still going strong... and nowhere is he stronger than on this album. His lines are delivered with such inflection that you can almost see his face as you listen. The lyrics are deep and touch on important themes of our times in only the way that X-Clan could deliver. The production is great. What I like the most about this album is that it is very spiritual. In my opinion, this is the most primal and spiritual of any X-Clan album. Brotha J is the greatest. Oh... you gotta get this! A classic. 5 stars? This should get a zillion stars.",0.9632431819979869
810,This special dvd of the Five Doctors was a lot of fun to watch and I enjoyed it immensly. The fight scene between the cybermen and the robot was worth it all. The story line was interesting but I wish they had taken their time with it. So much more could have been done. All in all it's just plain fun to watch.,0.9632174380926348
1331," Hey , honey I â€™ m back . Wow , the house looks really good ! ",0.963214402407594
226,"I found this book to be overflowing with excellent, easy to learn techniques that can actually change lives when applied. This book puts Hypnosis into an easy-to-understand language. Ms. Stockwell's examples, art and poetry make this book so much fun to read as well. Learning doesn't have to be boring. I highly suggest that anyone interested in learning how hypnosis can transform their lives get a copy of this book today. It's a must-have on my bookshelf that I am always using as reference.",0.9632108475678716
548,"Man.. this guy amazes me every time. But this time is more than what was going on with SB. This is great music too but now he hits the mark with the lyrics. This combination will blow you away. Never boring, even the short repetitions that come with the prog environment, everything is well done and well balanced. I am blessed to have his music and i am so thankful that he is not one of those musicians that speak half-truth when they are composing christian lyrics.Here is a tip: Take the time and listen to the whole album with the lyrics in front of you. It will be a great journey!! Neal, may God continue to bless you with uncompromising truth in your ministry!By the way, Sola Scriptura is definitely the complete message for us. Just read it.",0.9631933506721174
271," Happy Women's Day . I love you forever , Mum . ",0.963180887795291
1306,"I like all three stars. The mix of adventure, comedy and romance was good. I thought the shark scene was hilarious. Bought a copy for a friend.",0.9631574168249775
1515,"Had a great time in India, loved being with friend PM Modi: Trump",0.9631549949717234
2430,This DVD is very well done. The images and the sounds are very good. I bought many DVDs for our child and this is by far the best. Buy it without hesitation.,0.9631447191677539
1882,"What a treat to find this in smaller cans! Not only a great snack over chips but has many uses in meal planning. Add steamed veggies over a baked potato and add the cheese sauce for a healthy, inexpensive and tasty meal that the kids will love.",0.9631354129684084
1602,Nice book to end story time with and transition your little one with. It worked like a charm. Also recommend Good Night Moon.,0.9631332882488814
764,Loretta is a joy to watch. Her facial expressions add so much to the words she speaks. She has a true gift. Tah - dah!,0.9631316035518908
1312,It's bernie sanders' birthday on the 8th im excited I love him,0.9631140743117668
1619,"Another new episode of Dragon Ball Super. Thank you Sunday's, you have given me hope until Game Of Thrones comes back in my life",0.9631005009941479
1627,Woo CAVS.  Happy Mother's Day! ,0.9630900187870844
337,"MAR AZUL by CESARIA EVORA is just a beautiful cd that I havent stopped listening to since I bought it a few weeks ago. I have 5 of her cd's and I like nothing better to do than just lie back and relax and listen to her music. When I hear her voice and the music, I few that I am being trasported to a different land far from where I presently am. I have to say, it is her voice that truly stands out on her albums. Some have compared her toBillie Holiday, and I think that might be a fair comparison. I can't think of any weak spots on this album, each songs is just so great. This is a must have for any serious music fan. I also recommend CAFE ATLANTICO and CABO VERDE to add to your collection. I dont think that you will be disappointed.",0.9630573128146739
2690,My grandson LOVES these toys! They are durable and will hold up to even the outside playtime! I bought ALL of them!,0.9630422245371161
1706,"Dr. Seuss and his team are a set of expert people with subtle observations. Not only did my 4-year old enjoy this dictionary, but everyone at home did. I wish such a dictionary were available for all languages (including my mother tongue). Dr. Seuss and his team's talent and hard work is remarkable.",0.9630410233605692
60,"This is a really good book, I have always loved Cindy and it was nice to read about her again. I thought that it would be hard to go back in time with the diary thing and to go back to an older character after Christina and Melanie for so long, but Mary wrote the novel EXTREMELY well. I got so caught up it in I couldn't put it down. It was great knowing what happend to Ashleigh so many years ago, and why they sold Wonder's Champion. I think it would be great for Cindy and Ben to get back together, maybe they will...I can't wait until Cindy's Bold Start! I highly recommend this series to ANYONE who likes horses. Its the greatest series of all time. I hope it never ends.",0.9630337169770532
2508,New moon is actually so awesome defo seeing it ,0.9630084279396095
735,"For the kids who loved the original movie, this series is great! Mom checked, kid approved.",0.963001630815985
18,"Easily the greatest present this holiday season. Cant wait for the second version to come out. hopefully with backlighting, scaling, zooming, better graphics and simplified file transfer... but even V1 is amazing.5 starsDaniel Ivandjiiski",0.9629932830812928
1497," Yes , a very pleasant journey indeed . Thank you . ",0.9629826615194471
1134,"It's superb book.Easy,practical,fendish.Wonderful GUITAR HERE WE COME YE HA.You will be playing like the Gypsy kings before you know it!!!!!!!!!!!!!!!!!!!!!!! *****5 star!",0.9629669584956043
2175," Yes , the fitting room is over there , it looks fantastic on you , this style color in sizes natural here and figure , perfectly . ",0.9629647770527507
1739,"I just received this book and it is beautifully written and expressesthe almost inexpressible passion one can have with equines.The photos are beautiful , if not, breathtaking. Bravo to a realgem.",0.9629645142961798
1798,did anyone notice the @3OH3pfr shirt on The Bachelorette this week!?! AWESOME!! ,0.9629619919429037
656," Yes , I am , and I am so excited . ",0.9629518884640399
1289,"Had a fun day new restaurant for lunch was eccellent, sweet tomato and a family birthday BBQ ",0.9629502199775445
2181,"I loved this cartoon as a kid always looked forward in the afternoon to come home and watch HE-MAN! Finally I can own it and go back into time, yay!",0.9629400980861943
2878,@goldstar_gun  Like the dress. I can't wait to see how amazing you look in it. ,0.9629370060434765
1408,"This game is extremely fun, but every dungeon is hard. I beat it in 7 days. I like the fact you can play 3 game at once.BUY IT. ITS WORTH IT.",0.9629368143884414
1065,"These Pure Bar Organic Wild Blueerry bars are very good. They are a great pick me up, filled with fruit and nuts. Pefect afternoon snack. My kids even love them I can't keep them in stock at my house.",0.9629259503152763
354," Oh , congratulations . Sounds like you've found your soul mate . ",0.9629195794835429
2087,I have used Dr.Bronner's Pure Castile Soap for a long time and I simply love it.I appreciate the item being shipped so quickly.,0.9629148929811399
1447,"This show is so so very awesome on so very many levels. The cast is exciting. The writing is captivating. I am a 58 yr. old woman and not usually fond of either the shoot-em-up or the good-ol-boy genre,but I have been hooked on this show since episode 1 of season 1. An American classic in the making.Elmore Lenord you are a superstar.",0.9629130912312319
1953,The day sure snaps awake when your 1st tune is Back in Black by AC/DC !! Good Wednesday #HR !! #HRMusicShare #HRPositive,0.962902226566285
2577," Thank you very much , David . It's an excellent birthday gift . ",0.9629001681241334
2215,In a very romantic mood today. Maybe b/c I have a wonderful week in L.A. coming up 2morrow....... ,0.9628900284336073
837,"great time with Nik, Saadia, Shadi, Simone, Aranka, Alessandro, Giovanni, and everyone else at OHMS 6th birthday, thank u all ",0.9628674166281818
858,oh well leah u carn help being addicted 2 mcfly they r awesome they r gr8 2 talk 2 on msn and well danny is always nice 2 me yay ,0.9628583510383621
2749,@kimodified Congratulations! That's awesome! ,0.9628500355907182
1190," Good , happy birthday to you ! ",0.9628255992179392
862,"Today @thefountainphx is truly one church in multiple locations : the desert, the mountains, the beach, Disneyland.... Have a great Sunday!",0.962815879290139
342,@draven I miss you already! come back!!  BTW I'm healing nicely and the aquaphor is great. Thanx luv!,0.9628119438121444
2235,This is a great item containing a LOT of outlets which are spaced far enough apart to accommodate bulky rectifier plugs. I love it because I have everything plugged in and several open plugs available.,0.9628119043158453
676," Oh , that is wonderful . Congratulations ! ",0.9628104152642526
1893, Superb ! It's a 4 megapixel one and the photos it takes are very vivid and clear . ,0.9628104086329017
1319,My husband suggested we buy one of these after seeing an ad for it somewhere -- and I am so thankful that we now own this! It works great and takes the hassle out of taking my kiddos' temperature. I would recommend this to any parent!,0.9628069612473678
2096,Greetings from Earth!  It's going to be a good day. I can feel it.,0.9628059220955598
2313,"THIS BOOK IS A WONDERFUL JOURNEY THROUGH MEMORABLE CHARACTERS. iT'S ABOUT UNSPOKEN PROMISES AND TRUE LOVE. THERE IS SO MUCH TO THE STORY, IT IS LIKE GOING THRU TIME WITH YOUR FRIENDS. THERE WERE COUNTLESS OF INTERESTING LITTLE STORIES INTERLACED WITH THE MAIN THEME. I DID NOT WANT TO SEE IT END. IT IS A BOOK TO BE TREASURED BY THOSE WHO ENJOY READING ROMANCE AND FRIENDSHIP. I HIGHLY RECOMMEND IT.",0.9627800464390943
2040,"A good education on a fascinating subject by a smart, well informed author. A joy to read.",0.9627500932005115
2030,@Devilturnip  Possibly one of THE best FF games there is.  My favorite next to VII.,0.9627472900583489
904, I â€™ m glad to hear that you are so excited . ,0.9627444944330554
2777,My friend Jean is very beautiful . ,0.9627247863255058
618,I'm wearing my Jurassic Park shirt tomorrow which means you're all going to here fun facts and you will love it.,0.9627071244121043
772, It â€™ s my pleasure . I enjoyed working with you . ,0.9626952903783361
205," Wow , you â€™ Ve inspired me to do something ! ",0.962674487929814
861,I found this to be of very high quality. The bass is too good and sound clarity is very good too.,0.9626708926136002
113, That â€™ s great . Thank you so much . ,0.96266630736438
2000," Oh , how wonderful ! Every girl on the campus has a crush on those handsome guys . ",0.9626480097650822
2665,Purchased these for using on our boat almost 5 years ago through Amazon. Was so thrilled to find them again; Amazon product screen told me the last time I purchased it - so glad because I was unsure these were the same. We have been so happy with how they have held up in the Florida sun. Other plastic bungees we've purchased did not even make it a year. We are hard on them and these managed to hold up. P.S. we only use plastic bungees because metal ones rust when used near salt water.,0.9626334251028829
1420,Meet and greet with Bernie Sanders Friday night! So excited!,0.9626128353263876
2073,Proud to have been a part of #IBMCSC Kenya. IBM celebrates the 15th team working in the Philippines.  http://t.co/P8kuJtddej #15Philippines,0.9626115692574102
1949,I loved the Hannibal finale Saturday. It was good enough and open enough to interpretation to please all types of Fannibal. #HannibalMicDrop,0.962592605689862
1863,"@kittykata Ooh sweet!  I'm glad that she'll have her own garden, the way it should be! Lucky Kisa ",0.96258699861799
2001,Outstanding performances by the three principle players. Very tender coming of age movie set at a private all boys boarding school in the mid '60's. I very much enjoyed this movie though I wish it had had subtitles.,0.9625716577863227
2231,I bought Quick Gems for my 9 year old daughter for her birthday and she loves it! She puts the gems in her hair by herself. The only problem I have is finding all those little gems around the house! But - overall a great product that any little girl will love.,0.9625543745224371
1014," The coffee , books , music and sunshine are just beautiful there . ",0.9624770026835577
1241, Your idol ! Wow ! You're even better at finding stuff than me ! ,0.9624556245932755
49,This is a really good book on Chesty's life. Sure glad it was available!,0.9624353042023122
603,@ImWendy Good morning.  Hope you are having a super Tuesday!  ,0.9624283471759161
501,@nametrader happy birthday!!! (and thanks @sharonhayes for making it known!!) ,0.9624224578749109
783,@tammiw134 Hii Lol At last And the Apple taste great ,0.9624000848169579
2652,@crusaderz4life awww you are so sweet to send me such a tweet treat ,0.9623999019285345
1142,"For my money, the Black Lion sessions of Ben Webster are the most enjoyable recordings that I have by this wonderful tenor. The sound is very alive and has character. The selections represent most of the song book that he played in his late career.The whole trio plays very well behind him. These recordings were made at the Monmarte in Denmark.Get all three before they are gone. You will not regret it. i had them on LP from the 1970's, and I paid more for them back then--especially volumes 2 and 3 which I had to import from England.There are approximately 5-7 volumes of Monmartre recordings of Dexter Gordon from the late 60's that are great too!",0.9623794536829602
1712,"It's hard to see all of the detail online, but this watch is AMAZING! The champagne colored face has tiny palm trees and ocean waves detailed on it. Was a gift for a husband, a huge TB fan. I meant it to be a casual watch for him, but it is stunning enough that he wears it with his suit every day for the office. Also, the band is replacable if you're looking for a silver band rather than leather. Before my purchase I hadn't read that the watch also has an alarm on it, a great feature. Overall a great watch for a great price.",0.9623445442119428
1738,"What a great way to start out the Men's Retreat, PANCAKES! We are all meeting Friday morning at 8am at IHOP on... http://t.co/GcQFMsJVvR",0.9623384818238779
110,"I own this toothbrush and think it is the best toothbrush on the market, well worth the money. I drink a lot of coffee and tea - both stain your teeth - upon recommendation of my dentist I purchased this toothbrush after my last cleaning and to my amazement I have managed to keep the stains off my teeth. My gums were a little sore at first, but they have adjusted to the brush and now I have a beautiful smile, stain free!!! I have owned many electric toothbrushes but this is the best, hands down.Connie - Sanford, NC",0.9623271814479994
1821,My son seems to love this he is 6 mths old and he likes to stand on his own. When we place him in here he loves to have fun...,0.962325427196494
396,"Wee Sing Bible Songs became a favorite in our home, car, and Children's Church program. The songs are easy to sing and many have motions described in the song book that the kids love. I ordered multiple copies for our programs after purchasing one for my own children.",0.9623157647602938
2762,"Words can't even begin to describe this album. I've listened to Blink 182 for so long now. All their albums are great. I believe every artist and band have different facets to them. Its just human. Its up to the fans to like it or not. No one is really forcing you to listen to it. Blink 182 has songs that no other Punk bands can even touch. Their music is just truly amazing. Theres no substitution. Nothing else can come close.But just to say if you truly are a Blink 182 fan, you'll love this album. It shows a more serious side to Blink 182 so... More hearfelt songs.Listening to Blink 182 for so long, has helped through alot of things. I truly thank them.I just have to say it again, if you are a true Blink fan, get this album... every track is great. Especially ""Feeling This"" ""Violence"" ""Stockholm Syndrome"" and also ""I'm Lost Without You""",0.9622923235898577
2521,had a great hungry man breakfast with the kids.... what to do today? Ahh think we will go get sparklers they'll like those for tonight! ,0.962289244347613
651,"Wow!! I thought they would't be able to top ""Let's Face It""...but they did. A great album with several tracks destined for singles and chart toppers. Great lyrics and instrumentals but I don't expect any less. These guys from Boston really know how to make 'em. This CD will definately go into my fave section.",0.9622257230226472
1136,This product was much larger then I was expecting. Its also a great quality and looks nice on a shelf.,0.9622045628614749
538, I am glad that you have been happy with my performance . ,0.9621930907921411
552," Oh , I love you too ! ",0.9621787198017815
1819,"@ace_libre Man, I am too! Am definitely going to Haywire 3!! Can't wait to be apart of this event   ",0.9621702372947475
954,finished watching valkyrie! enjoyed it even though it isnt historically correct! still a very good film ,0.9621618044836515
1558,This workbook is outstanding and easy to implement. I would recommend it to anyone. The service was great and they have been more than willing to answer questions on the program. These people understand withdrawals unlike any other!,0.96215096860543
2197,"I think a good walk is in order, it's such a nice day here ",0.9621269519586589
927,i just finished watching this film and can only say that if you view the trailer you should know what to expect. i am a fan of kubrick and tarkovsky and long tracking shots so watching this movie was a joy. the acting is fair but flawed and there is at least one off note (triple vomit session anyone?) but i was sucked back into my school days in a surreal dreamscape of visual bliss and emotional interest by this movie. watch this only if you can appreciate time and space beyond the second mark. this is (bad or good) a piece of art.,0.962125741024788
1469," Thanks , I like looking at photographs . How nice ! Oh , I'm afraid I must be going now . I've got an appointment . Have a good day . ",0.9621195840593707
2816, It's very nice . I haven't heard live music in a while . This is fun . ,0.9621050176619378
1815,Grandson chose this book to read because he had already read it and wanted it for his own. So glad he likes to read!,0.9620939646122876
547,That is the most beautiful sunset ! ,0.9620257897047312
254,The NIV has long been one of my preferred translations of the Bible and it is well presnted for Kindle. Good advantage is taken of Kindle's convenient features making it easy to get quickly to any desired passage. The translation is faithful to the Word of God and easily understood by contemporary Americans.,0.9620235485031196
2784,"Started the day listening to @theweeknd, new iPhone reveal later and the #NFL is back tomorrow. Happy hump day!",0.9620026413042786
1044,sooo happy i finally found @BloodzillaBilly 's and @TonyLovato 's twitter ! ,0.9619957679856838
56,"This book is very good, specifically, for the new Christian and challenging for the not so new Christian. Very well-written and interesting. I learned simple and basic things that Christians need to know if they really and seriously desire to understand biblical principles. Three things caught my attention in this book concerning the studying of the Bible: Observation, Interpretation, and Application. I even bought a copy of this book for a friend. It is worth reading it.",0.9619931095638552
2084,"Yes, highly recommend ""Curiosity"" by Amanda - get it on Google Play, Amazon or other outlets.  https://t.co/B4sbFe14xO",0.9619760839542825
1752,@IluvaVanquish lmao looove your pic! I see you're from Canada  mee too!,0.9619748560882037
1258," Oh , great ! ",0.9619732166971219
586,"I probably sound like a paid endorser, but the truth is, this book is fantastic. It's written beautifully, contains riveting stories, and is packed with insights, ideas, trends, and more. It's written for anyone in business ready to cash in on the future. Wireless is the next big trend. This book shows you how to surf it to the bank. Get it. Get it right now. -- Joe Vitale, author of way too many books to list here, ...",0.9619729354167779
2456,"Free food, helped clean a house, played CoH, made a couple drawings, talked with old friends, and cooled off in the shower.  Decent day. ",0.961946567619599
1875," I love going to art galleries , particularly when one is holding an exhibition of abstract art . ",0.9619386261030416
617,"The Chris Brown and Ed Sheerhan performance of Loyal in Vegas , may have been the best video I've seen",0.9619357179594801
2462, Daniel loves the beach very much ! ,0.9619157054895512
1554, There we are ! It â€™ s a lovely vase . ,0.9619134454129677
672,Next Friday is our #MovieOnTheLawn with Jurassic World! Bring the fam! We have fun games to play and popcorn! http://t.co/MHRIFfvwk8,0.9619040307539951
1139,Morning all  and its a lovely day at last,0.9618728423140636
1898,Really enjoy these... and they don't make you feel too guilty. Easily satisfies cravings for dessert.,0.961864763746451
2628,"This band is going to be the next breakthrough thing of the year. Ozo has the great dancing of mexicana, but the good homebase stylings of rap and ska. If you like Rap, ska, or mexicana, get this CD.",0.961854659787422
346, That must have been wonderful . Do anything interesting ? ,0.9618502389874425
2808,"23rd of August was such a nice day, England lift Ashes, Bolt won 100 m and Federer beats Djokovic in Cincinati.",0.96184115734638
1778,@gerardway You should see Jurassic World. It was really great in my opinion. I saw it twice and may see it a third time.,0.961825980751893
2219,"TOMMY and WHO's NEXT were fantastic, but at heart, The Who were always a singles band, and the singles they released are probably some of the most well-written songs ever to grace a 45. ODDS AND SODS is mostly a collection of rare songs and B-sides that would have been perfect candidates for a single. The original collection must have been large already, but the wonder of compact disc has expanded ODDS AND SODS to 23 songs worth of hidden treasures that might otherwise be overlooked. The few songs on here from the aborted LIFEHOUSE project are proof that Pete Townshend was on to something back in 1971, he just didn't know how to present it to the public. 30 years later, with LIFEHOUSE about to come to fruition in a different form, these songs are excellent preparations for what could be the greatest rock show the world has ever seen! Also for people who thought the Who got too soft near the end, ODDS AND SODS will show you otherwise.",0.9618144929861219
2631, So cool . I wish I can go to the live New Year's Concert someday in the future . ,0.9617986760170041
1614,Watching The Kardashians Omg Love It ,0.9617924224334758
2666,"I really enjoy Freethy's books and this was no exception.The tender moments between Sam and Alli, along with the heartache, kept me turning the pages. I enjoyed the main characters in the story but the side characters were as interesting as Sam and Alli.If you enjoy her other books you should enjoy this one as well.",0.9617875051826953
1607,This is similar in quality to a batik brought back to the US for me by a friend!! Amazing that I didn't have to travel across the ocean to obtain it!!!,0.9617847668119384
323,A great collection of Christmas songs done in the key of Chris Isaak. The originals are appealing as well.,0.9617722540238578
1670,Save the Mangos! â @OceanDoctor ~ mangos &amp; espresso? a lovely indulgence!  http://tinyurl.com/pw3h87,0.9617590962831861
779,"@gfalcone601 come with Tom to brazil, you'll be very welcome here. the brazilians love you ",0.9617457935288414
2625, That sounds great . ,0.961734975942919
2412,Just got my @davedays CD in the mail.       I loves it.,0.9617240901747991
